"ITEMPK"|"p_name"
8796093056040|PneuStore
8796125824040|Pneu Store Mercado Livre
8796125856808|Pneu Store Cnova
8796125889576|Pneu Store B2W
8796125922344|Pneu Store Amazon
8796125955112|Pneu Store Zoom
8796125987880|Carrefour
8796126020648|Pneu Store Magazine Luiza
8796126053416|Itaro Mercado Livre
8796126086184|Itaro Cnova
8796158592040|Itaro B2W
8796191392808|Anymarket Itaro Configuration
8796191425576|Anymarket Pneustore Base Configuration
8796224128040|Itaro
8796256896040|Pneu Store Cooper
8796256928808|Pneu Store Kumho
8796289664040|Pneu Store Michelin
8796322432040|Pneu Store BFGoodrich
8796322497576|Pneu Store BFGoodrich
8796355200040|Pneu Store Colombo
8796387968040|Pneu Store Continental
8796420736040|Pneu Store Multivarejo GPA
8796486272040|Cantupneus Site
8796519040040|Cantupneus Site NOVO
8796551808040|Shopee ES
8796584576040|speedmax
