"hjmpTS"|"createdTS"|"modifiedTS"|"TypePkString"|"OwnerPkString"|"PK"|"sealed"|"p_active"|"p_isocode"|"p_country"|"p_isocodeshort"|"aCLTS"|"propTS"
43|2019-07-18 10:08:36.991|2022-08-02 08:36:42.831|8796093743186|8796094005282|8796125823011||1|BR-SP|8796094005282|SP|0|0
22|2019-08-16 14:09:27.866|2022-07-06 10:12:24.819|8796093743186|8796094005282|8796158591011||1|BR-AP|8796094005282|AP|0|0
20|2019-08-16 14:09:27.865|2022-07-06 10:12:24.820|8796093743186|8796094005282|8796158623779||1|BR-AC|8796094005282|AC|0|0
27|2019-08-16 14:09:27.866|2022-08-02 08:36:42.871|8796093743186|8796094005282|8796158656547||1|BR-ES|8796094005282|ES|0|0
28|2019-08-16 14:09:27.865|2022-08-02 08:36:42.872|8796093743186|8796094005282|8796158689315||1|BR-DF|8796094005282|DF|0|0
25|2019-08-16 14:09:27.865|2022-08-02 08:36:42.872|8796093743186|8796094005282|8796158722083||1|BR-BA|8796094005282|BA|0|0
23|2019-08-16 14:09:27.865|2022-07-06 10:12:24.824|8796093743186|8796094005282|8796158754851||1|BR-AL|8796094005282|AL|0|0
13|2019-08-16 14:09:27.867|2022-07-06 10:12:24.820|8796093743186|8796094005282|8796158787619||1|BR-AM|8796094005282|AM|0|0
23|2019-08-16 14:09:27.870|2022-07-06 10:12:24.824|8796093743186|8796094005282|8796158820387||1|BR-CE|8796094005282|CE|0|0
29|2019-08-16 14:09:27.934|2022-07-06 10:12:24.825|8796093743186|8796094005282|8796158853155||1|BR-GO|8796094005282|GO|0|0
25|2019-08-16 14:09:27.942|2022-07-06 10:12:24.820|8796093743186|8796094005282|8796158885923||1|BR-MA|8796094005282|MA|0|0
22|2019-08-16 14:09:27.941|2022-07-06 10:12:24.821|8796093743186|8796094005282|8796158918691||1|BR-MS|8796094005282|MS|0|0
28|2019-08-16 14:09:27.948|2022-08-02 08:36:42.873|8796093743186|8796094005282|8796158951459||1|BR-MG|8796094005282|MG|0|0
23|2019-08-16 14:09:27.955|2022-07-21 17:47:36.299|8796093743186|8796094005282|8796158984227||1|BR-MT|8796094005282|MT|0|0
22|2019-08-16 14:09:27.955|2022-07-06 10:12:24.827|8796093743186|8796094005282|8796159016995||1|BR-PB|8796094005282|PB|0|0
33|2019-08-16 14:09:27.958|2022-07-06 10:12:24.822|8796093743186|8796094005282|8796159049763||1|BR-PA|8796094005282|PA|0|0
22|2019-08-16 14:09:27.963|2022-08-02 08:36:42.873|8796093743186|8796094005282|8796159082531||1|BR-PE|8796094005282|PE|0|0
24|2019-08-16 14:09:27.965|2022-08-02 08:36:42.868|8796093743186|8796094005282|8796159115299||1|BR-PR|8796094005282|PR|0|0
21|2019-08-16 14:09:28.010|2022-07-06 10:12:24.822|8796093743186|8796094005282|8796159148067||1|BR-PI|8796094005282|PI|0|0
28|2019-08-16 14:09:28.010|2022-08-02 08:36:42.874|8796093743186|8796094005282|8796159180835||1|BR-RJ|8796094005282|RJ|0|0
22|2019-08-16 14:09:28.063|2022-07-06 10:12:24.829|8796093743186|8796094005282|8796159213603||1|BR-RN|8796094005282|RN|0|0
13|2019-08-16 14:09:28.065|2022-07-06 10:12:24.823|8796093743186|8796094005282|8796159246371||1|BR-RR|8796094005282|RR|0|0
23|2019-08-16 14:09:28.072|2022-07-06 10:12:24.824|8796093743186|8796094005282|8796159279139||1|BR-RO|8796094005282|RO|0|0
24|2019-08-16 14:09:28.072|2022-07-21 17:47:36.308|8796093743186|8796094005282|8796159311907||1|BR-RS|8796094005282|RS|0|0
29|2019-08-16 14:09:28.120|2022-08-02 08:36:42.874|8796093743186|8796094005282|8796159344675||1|BR-SC|8796094005282|SC|0|0
23|2019-08-16 14:09:28.118|2022-07-06 10:12:24.824|8796093743186|8796094005282|8796159377443||1|BR-TO|8796094005282|TO|0|0
25|2019-08-16 14:09:28.121|2022-07-06 10:12:24.831|8796093743186|8796094005282|8796159410211||1|BR-SE|8796094005282|SE|0|0
1|2021-05-28 11:42:27.593|2021-05-28 11:43:25.498|8796093743186||8796191359011||0|BR-SP-ITARO|8796094005282||0|0
